dispatch,xopt_pv,xopt_wind,xopt_sto,xopt_elyz,xopt_fc,xopt_hyTank,lcoe_opt,shed_max,algo,srand,ret,numevals,time,shed_rate_opt,capex,om,replacement,opex,fc_hours,elyz_hours,fc_starts,elyz_starts,batt_cycles,h2_consumed,ini_h2_level,ini_bat_level,fc_energy,batt_energy
1,4.001076852094899,1.8,5.488787623195936,0.8658288618349956,1.5367497044671454,16.270322138819452,0.35915593569592347,0.0,CRS2,1,XTOL_REACHED,16719,16.624000072479248,0.0,2.5004844436828226e7,6.867146354016219e6,2.8574303763770387e6,9.724576730393257e6,1200.0,3583.0,125.0,233.0,161.90235763418204,42948.8614141959,0.014003457493264341,0.0,687181.7826271344,844215.2739113034
2,6.680863762725515,1.7999999918112917,0.2623663271104856,1.9012433401952464,1.4230985407961851,16.99993002586292,0.4136412242993094,0.0,CRS2,1,XTOL_REACHED,13607,13.28600001335144,0.0,2.8230931395085145e7,7.497059571471536e6,4.291653237689605e6,1.1788712809161142e7,2897.0,4820.0,309.0,350.0,39.69729482252234,89869.83255114025,0.013254976696068472,0.1605858365218815,1.437917320818244e6,9894.471766866916
1,4.001077541983498,1.8,5.488784123043679,0.8658290944950595,1.5367497016517,16.27032263538539,0.3591559338107188,0.0,CRS2,2,XTOL_REACHED,20023,18.07800006866455,0.0,2.5004844654912718e7,6.867146225660706e6,2.8574299866446527e6,9.72457621230536e6,1200.0,3583.0,125.0,233.0,161.90241164293388,42948.87557453434,0.01400345371669145,0.0,687182.0091925494,844215.0171828067
2,6.680863134803452,1.8,0.26236683347432344,1.9012434209648958,1.4230984280534162,16.999929526608963,0.4136412150528256,0.0,CRS2,2,XTOL_REACHED,13998,12.960000038146973,0.0,2.823093053541793e7,7.4970594278188925e6,4.291653370083671e6,1.1788712797902564e7,2897.0,4820.0,309.0,350.0,39.697307732503056,89869.83170798657,0.013254929754923962,0.16058610665494558,1.437917307327785e6,9894.494080870969
1,4.001077165185988,1.8,5.488779564462945,0.8658298471095256,1.536749716672445,16.27032466688931,0.359155934714711,0.0,CRS2,3,XTOL_REACHED,17973,16.66100001335144,0.0,2.5004844851243205e7,6.867146067741273e6,2.8574298832243034e6,9.724575950965576e6,1200.0,3583.0,125.0,233.0,161.9024725494296,42948.90057796566,0.014003452066823362,0.0,687182.4092474505,844214.6336270656
2,6.680863846668374,1.8,0.26236949743398,1.90124321277782,1.4230980414696828,16.99992892156395,0.41364122036737117,0.0,CRS2,3,XTOL_REACHED,13763,12.946000099182129,0.0,2.823093106856317e7,7.497059595539873e6,4.291653175881436e6,1.178871277142131e7,2897.0,4820.0,309.0,350.0,39.696920596480155,89869.83053695879,0.013254933072312274,0.16058998830276203,1.4379172885913406e6,9894.498051246352
1,4.0010775375065295,1.7999999980004113,5.4887803552515155,0.8658296382891673,1.536749706163742,16.270323903386238,0.35915593405788915,0.0,CRS2,4,XTOL_REACHED,18391,17.179999828338623,0.0,2.50048448347951e7,6.867146102121168e6,2.8574298272324456e6,9.724575929353613e6,1200.0,3583.0,125.0,233.0,161.90246434290685,42948.89469802896,0.014003451265707598,0.0,687182.3151684634,844214.7124645483
2,6.680862906189986,1.7999999997238585,0.26236636443858175,1.901243488480734,1.4230985118670043,16.99992971012753,0.41364121462372466,0.0,CRS2,4,XTOL_REACHED,13535,12.935999870300293,0.0,2.8230930429848798e7,7.497059402254477e6,4.291653467563953e6,1.178871286981843e7,2897.0,4820.0,309.0,350.0,39.697374846137144,89869.83207290765,0.013254929652437783,0.1605856121752231,1.4379173131665224e6,9894.493120329775
1,4.001077559738572,1.7999999960793245,5.488778738819128,0.8658298764076506,1.5367497057335666,16.27032443960488,0.35915593453082717,0.0,CRS2,5,XTOL_REACHED,17992,17.32699990272522,0.0,2.500484493792628e7,6.867146055483434e6,2.8574297612035507e6,9.724575816686984e6,1200.0,3583.0,125.0,233.0,161.9024871775165,42948.902797487826,0.014003453075025261,0.0,687182.4447598052,844214.5829127945
2,6.680864010999314,1.799999996006228,0.26236812565733003,1.9012432311511245,1.4230982253218754,16.999928809069996,0.4136412192628851,0.0,CRS2,5,XTOL_REACHED,15205,15.09500002861023,0.0,2.823093103756786e7,7.49705956455114e6,4.291653116894906e6,1.1788712681446046e7,2897.0,4820.0,309.0,350.0,39.697101291092416,89869.83087070947,0.01325492725149644,0.16058780503775177,1.4379172939313515e6,9894.491356784438
